"","p_wilcox","direction"
"f__Eubacteriaceae",0.0377644464202737,"increase"
"g__Eubacterium",0.0377644464202737,"increase"
"g__Hungatella",0.0445533169117585,"decrease"
"g__Lachnospira",0.00902006196943347,"increase"
"g__Lachnospiraceae_unclassified",0.0181760594815431,"increase"
"s__Blautia_obeum",0.00488857577164473,"increase"
"s__Clostridium_innocuum",0.0249324556028631,"decrease"
"s__Eubacterium_eligens",0.00607045578069326,"increase"
"s__Eubacterium_rectale",0.0181760594815431,"increase"
"s__Hungatella_hathewayi",0.0445533169117585,"decrease"
"s__Lachnospira_pectinoschiza",0.00902006196943347,"increase"
