"","c__Actinobacteria","c__Bacilli","c__Bacteroidia","c__Betaproteobacteria","c__Candidatus_Melainabacteria_unclassified","c__Clostridia","c__Coriobacteriia","c__Deltaproteobacteria","c__Epsilonproteobacteria","c__Erysipelotrichia","c__Firmicutes_unclassified","c__Fusobacteriia","c__Gammaproteobacteria","c__Lentisphaeria","c__Methanobacteria","c__Negativicutes","c__Proteobacteria_unclassified","c__Spirochaetia","c__Synergistia","c__Thermoplasmata","c__Tissierellia","c__Verrucomicrobiae"
"1-rB",0,0,66.2533,0.07631,0,27.50982,0.69461,0.14567,0,0.18855,2.03798,0.49462,2.46125,0,0,0.09178,0,0,0.0461,0,0,0
"1-rP",0,0,80.8128,0.18579,0,16.16277,0.44657,0.12887,0,0.03359,1.25422,0.69542,0.1396,0,0,0.14037,0,0,0,0,0,0
"1-tB",0.01399,0.53845,32.45477,0.02877,0,64.90075,0.05806,0.36203,0,0.01861,1.08889,0.46904,0,0,0,0.06665,0,0,0,0,0,0
"1-tP",0,0.03512,70.62334,0.16147,0,20.22539,0.90973,0.23719,0,0.03546,2.12009,0.65542,4.90262,0,0,0.09418,0,0,0,0,0,0
"101-rB",0.52818,0.22584,62.67372,0,0,29.28554,0.30246,0.0442,0,0,1.83806,0,0,0,1.4129,0.08031,0,0,0.01232,0.38678,0,3.20968
"101-rP",0.99814,0.53897,52.61165,0,0.00295,42.0867,0.44204,0.0263,0,0,1.22956,0,0.03823,0,0.83392,0.03978,0,0,0,0,0,1.15176
"101-tB",0.7605,0.04969,58.11547,0,0.10139,33.61582,0.72336,0.05794,0,0.113,3.74409,0,0,0,1.72723,0.20562,0,0,0,0.05645,0,0.72945
"101-tP",0.11298,0,52.9035,0,0.30659,40.03443,0.49446,0.00513,0,0.35164,2.12489,0,0,0,1.31538,0.03705,0,0,0,0.18439,0,2.12955
"102-rB",0,1.13043,37.53603,1.49848,0,46.62033,2.00732,0,0,1.12743,3.48803,0,0,0,0,0.23353,0.02517,0,0,0,0,6.33324
"102-rP",0,2.05656,16.06532,0.2118,0,67.41459,2.17593,0,0,3.64253,3.64012,0,0,0,0,0.25111,0,0,0,0,0,4.54204
"102-tB",0,0,35.64708,1.08281,0,52.73299,0.57756,0,0,1.28795,0.95436,0,0,0,0,0.70796,0.02411,0,0,0,0,6.98518
"102-tP",0,0.02767,65.83899,1.27538,0,24.06278,0.10975,0,0,0.3524,1.33692,0,0,0,0,0.45673,0.03477,0,0,0,0,6.50459
"17-rB",0,0.31772,43.09661,0,0,55.19516,0.38422,0,0,0.06626,0.37179,0,0,0,0,0.56823,0,0,0,0,0,0
"17-rP",0.67522,0.05708,65.35079,0,0,32.82517,0.79911,0,0,0,0.10204,0,0,0,0,0.16522,0,0,0,0,0,0.02537
"17-tB",0,0.16346,65.09048,0,0,33.32327,0.70605,0,0,0.15267,0.32293,0,0.13373,0,0,0.10741,0,0,0,0,0,0
"17-tP",0.28461,0.15501,58.66226,0,0,39.61141,0.74766,0,0,0.07529,0.18662,0,0.00793,0,0,0.07884,0,0,0,0,0,0.19038
"19-rB",2.03029,0,47.93477,0.01971,0,42.25916,3.78253,0.04684,0,0.71412,0.36565,0,0,0,1.44657,0,0.15172,0.71905,0,0,0,0.52959
"19-rP",3.3835,0,53.95031,0.00799,0,35.23394,2.75922,0.05366,0,1.83564,0.20893,0,0,0,1.11104,0,0.10071,1.33314,0,0,0,0.02192
"19-tB",1.95906,0.00098,44.86488,0,0,44.96012,3.82955,0.01733,0,0.67539,0.69576,0,0,0,0.53646,0,0.01819,2.11071,0,0,0,0.33156
"19-tP",0.64552,0,53.12865,0,0,38.71366,2.59241,0.02002,0,0.81516,0.23807,0,0.16334,0,0.83143,0,0.06283,2.30943,0,0,0,0.4795
"21-rB",0.97888,1.48116,52.42685,0,0,43.3612,0.65333,0,0,0.06815,0.56694,0,0.03766,0,0,0.42583,0,0,0,0,0,0
"21-rP",0.90065,2.21339,41.44102,0,0,54.01974,0.25623,0,0,0.22978,0.09462,0,0.06229,0,0,0.78227,0,0,0,0,0,0
"21-tB",0.21657,1.28165,57.14879,0,0,40.01879,0.43481,0,0,0.20685,0.3945,0,0.00439,0,0,0.29365,0,0,0,0,0,0
"21-tP",0.55373,1.82216,46.25355,0,0,49.29777,0.3319,0,0,0.45504,0.17225,0,0.02976,0,0,1.08383,0,0,0,0,0,0
"24-rB",0.67966,0,54.31857,0.83653,0,33.54232,1.00811,0.80202,0,0,2.3208,0,0.99825,0,2.41432,0.60058,0.00267,0,1.17324,1.30293,0,0
"24-rP",0,0.06654,44.63642,0.70879,0,42.74703,0.27987,0.31591,0,0.00957,7.55397,0,0,0,1.08494,0.8023,0.01327,0,0.47679,1.3046,0,0
"24-tB",0.19282,0,41.84042,0.70589,0,43.00643,0.63747,0.32238,0,0,4.50314,0,0.17172,0,2.55664,0.46254,0,0,3.24464,2.35591,0,0
"24-tP",0,0,55.70362,0.69084,0,30.81228,0.67213,0.15984,0,0.02131,7.75911,0,0,0,1.46401,0.69122,0,0,0.85886,1.16679,0,0
"3-rB",7.11103,1.57516,63.97666,0,0,18.50732,1.63377,1.33785,0,0.40994,3.70578,0,0,0,0,0.96732,0,0,0.77516,0,0,0
"3-rP",0.67819,0.69987,82.32858,0,0,9.85556,1.23236,1.42908,0,0.42793,1.35794,0,0.34137,0,0,1.63506,0,0,0.01406,0,0,0
"3-tB",4.0442,1.42167,78.06921,0,0,11.92405,0.52673,0.65867,0,0.19907,0.84732,0,0.08165,0,0,0.348,0,0,1.87943,0,0,0
"5-rB",8.72913,1.17147,0.23361,0,0,69.55456,18.09572,0,0,1.26826,0.94467,0,0,0,0,0.00257,0,0,0,0,0,0
"5-tB",0.19831,0.35684,41.6666,0.03998,0,53.64034,2.40313,0.048,0,0.17438,0.02324,0,0,0,0,0.48185,0.96733,0,0,0,0,0
"5-tP",0,0.02862,58.21966,0.0989,0,35.8989,3.12889,0,0,0.81969,0.03488,0,0,0,0,0.07034,1.70012,0,0,0,0,0
"52-rB",4.58643,0.12149,41.15802,0.06532,0,43.40863,2.31372,0,0,0.24678,3.08539,0,1.6691,0,0,0,0,0,0.30482,0,0,3.04031
"52-rP",3.25681,0.16528,33.93879,0.12554,0,55.82687,1.72283,0,0,0.32948,2.76565,0,0,0,0,0.10401,0,0,0.05443,0,0,1.7103
"52-tB",1.42543,0.07277,40.02185,0,0,48.04734,2.73711,0,0,0.15244,4.06845,0,0,0,0,0.6462,0,0,0.01933,0,0,2.80908
