"","k__Archaea","k__Bacteria"
"1-rB",0,100
"1-rP",0,100
"1-tB",0,100
"1-tP",0,100
"101-rB",1.79968,98.20032
"101-rP",0.83392,99.16608
"101-tB",1.78368,98.21632
"101-tP",1.49977,98.50023
"102-rB",0,100
"102-rP",0,100
"102-tB",0,100
"102-tP",0,100
"17-rB",0,100
"17-rP",0,100
"17-tB",0,100
"17-tP",0,100
"19-rB",1.44657,98.55343
"19-rP",1.11104,98.88896
"19-tB",0.53646,99.46354
"19-tP",0.83143,99.16857
"21-rB",0,100
"21-rP",0,100
"21-tB",0,100
"21-tP",0,100
"24-rB",3.71724,96.28276
"24-rP",2.38954,97.61046
"24-tB",4.91255,95.08745
"24-tP",2.63079,97.36921
"3-rB",0,100
"3-rP",0,100
"3-tB",0,100
"5-rB",0,100
"5-tB",0,100
"5-tP",0,100
"52-rB",0,100
"52-rP",0,100
"52-tB",0,100
"52-tP",0,100
"54-rB",2.04107,97.95893
"54-rP",1.33929,98.66071
"54-tB",0.93825,99.06175
"54-tP",1.32065,98.67935
"55-rB",0.30369,99.69631
"55-rP",0.685,99.315
"55-tB",0.16989,99.83011
"55-tP",0.43558,99.56442
"57-rB",1.06985,98.93015
"57-rP",6.46496,93.53504
"57-tB",1.11436,98.88564
"57-tP",2.29765,97.70235
"58-rB",0,100
"58-rP",0.13379,99.86621
"58-tB",0,100
"58-tP",0.66883,99.33117
"60-rB",0,100
"60-rP",0,100
"60-tB",0,100
"60-tP",0.04945,99.95055
"61-rB",0,100
"61-rP",0,100
"61-tB",0,100
"61-tP",0,100
"62-rB",0,100
"62-rP",0,100
"62-tB",0,100
"62-tP",0,100
"64-rB",0.27557,99.72443
"64-rP",0.14079,99.85921
"64-tB",0.129,99.871
"64-tP",0.10866,99.89134
"66-rB",1.04833,98.95167
"66-rP",1.32522,98.67478
"66-tB",2.77918,97.22082
"66-tP",0.74237,99.25763
"68-rB",0.81146,99.18854
"68-rP",1.15241,98.84759
"68-tB",0.60864,99.39136
"68-tP",0.92796,99.07204
"7-rB",0,100
"7-rP",0,100
"7-tB",0,100
"7-tP",0,100
"70-rB",0.08422,99.91578
"70-rP",0,100
"70-tB",0.26679,99.73321
"70-tP",0.18634,99.81366
"71-rB",0,100
"71-rP",0,100
"71-tB",0,100
"71-tP",0,100
"76-rP",0,100
"76-tB",0,100
"76-tP",0,100
"77-rB",0,100
"77-rP",0,100
"77-tB",0,100
"77-tP",0,100
"79-rB",0,100
"79-rP",0,100
"79-tB",0,100
"79-tP",0,100
"81-rB",0,100
"81-rP",0,100
"81-tB",0,100
"81-tP",0,100
"84-rB",0,100
"84-rP",0,100
"84-tB",0,100
"84-tP",0,100
"85-rB",0,100
"85-rP",0,100
"85-tB",0,100
"85-tP",0,100
"95-rB",0,100
"95-rP",0,100
"95-tB",0,100
"95-tP",0,100
"96-rB",0,100
"96-rP",0,100
"96-tB",0,100
"96-tP",0,100
"97-rB",1.77848,98.22152
"97-rP",0.57488,99.42512
"97-tP",0.73979,99.26021
"99-rB",0,100
"99-rP",0.03086,99.96914
"99-tB",0,100
"99-tP",0.03713,99.96287
