"","o__Acidaminococcales","o__Actinomycetales","o__Bacillales","o__Bacteroidales","o__Bifidobacteriales","o__Brachyspirales","o__Burkholderiales","o__Campylobacterales","o__Candidatus_Gastranaerophilales","o__Clostridiales","o__Coriobacteriales","o__Corynebacteriales","o__Desulfovibrionales","o__Eggerthellales","o__Enterobacterales","o__Erysipelotrichales","o__Firmicutes_unclassified","o__Fusobacteriales","o__Lactobacillales","o__Methanobacteriales","o__Methanomassiliicoccales","o__Micrococcales","o__Pasteurellales","o__Propionibacteriales","o__Proteobacteria_unclassified","o__Pseudomonadales","o__Selenomonadales","o__Synergistales","o__Tissierellales","o__Veillonellales","o__Verrucomicrobiales","o__Victivallales"
"1-rB",0.09178,0,0,66.2533,0,0,0.07631,0,0,27.50982,0.56853,0,0.14567,0.12608,2.46125,0.18855,2.03798,0.49462,0,0,0,0,0,0,0,0,0,0.0461,0,0,0,0
"1-rP",0.14037,0,0,80.8128,0,0,0.18579,0,0,16.16277,0.14445,0,0.12887,0.30213,0.1396,0.03359,1.25422,0.69542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-tB",0.06665,0.01399,0,32.45477,0,0,0.02877,0,0,64.90075,0.05806,0,0.36203,0,0,0.01861,1.08889,0.46904,0.53845,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-tP",0.09418,0,0,70.62334,0,0,0.16147,0,0,20.22539,0.42061,0,0.23719,0.48912,4.90262,0.03546,2.12009,0.65542,0.03512,0,0,0,0,0,0,0,0,0,0,0,0,0
"101-rB",0,0,0,62.67372,0.52818,0,0,0,0,29.28554,0.25678,0,0.0442,0.04568,0,0,1.83806,0,0.22584,1.4129,0.38678,0,0,0,0,0,0,0.01232,0,0.08031,3.20968,0
"101-rP",0,0,0,52.61165,0.99814,0,0,0,0.00295,42.0867,0.41558,0,0.0263,0.02647,0.03823,0,1.22956,0,0.53897,0.83392,0,0,0,0,0,0,0,0,0,0.03978,1.15176,0
"101-tB",0,0,0,58.11547,0.7605,0,0,0,0.10139,33.61582,0.65216,0,0.05794,0.0712,0,0.113,3.74409,0,0.04969,1.72723,0.05645,0,0,0,0,0,0,0,0,0.20562,0.72945,0
"101-tP",0,0,0,52.9035,0.11298,0,0,0,0.30659,40.03443,0.47297,0,0.00513,0.0215,0,0.35164,2.12489,0,0,1.31538,0.18439,0,0,0,0,0,0,0,0,0.03705,2.12955,0
"102-rB",0.23353,0,0,37.53603,0,0,1.49848,0,0,46.62033,0.44883,0,0,1.5585,0,1.12743,3.48803,0,1.13043,0,0,0,0,0,0.02517,0,0,0,0,0,6.33324,0
"102-rP",0.25111,0,0,16.06532,0,0,0.2118,0,0,67.41459,0.07829,0,0,2.09764,0,3.64253,3.64012,0,2.05656,0,0,0,0,0,0,0,0,0,0,0,4.54204,0
