"","p__Actinobacteria","p__Bacteroidetes","p__Candidatus_Melainabacteria","p__Euryarchaeota","p__Firmicutes","p__Fusobacteria","p__Lentisphaerae","p__Proteobacteria","p__Spirochaetes","p__Synergistetes","p__Verrucomicrobia"
"1-rB",0.69461,66.2533,0,0,29.82814,0.49462,0,2.68323,0,0.0461,0
"1-rP",0.44657,80.8128,0,0,17.59095,0.69542,0,0.45426,0,0,0
"1-tB",0.07205,32.45477,0,0,66.61334,0.46904,0,0.3908,0,0,0
"1-tP",0.90973,70.62334,0,0,22.51023,0.65542,0,5.30128,0,0,0
"101-rB",0.83064,62.67372,0,1.79968,31.42976,0,0,0.0442,0,0.01232,3.20968
"101-rP",1.44018,52.61165,0.00295,0.83392,43.89501,0,0,0.06453,0,0,1.15176
"101-tB",1.48386,58.11547,0.10139,1.78368,37.72821,0,0,0.05794,0,0,0.72945
"101-tP",0.60745,52.9035,0.30659,1.49977,42.54802,0,0,0.00513,0,0,2.12955
"102-rB",2.00732,37.53603,0,0,52.59975,0,0,1.52365,0,0,6.33324
"102-rP",2.17593,16.06532,0,0,77.00491,0,0,0.2118,0,0,4.54204
"102-tB",0.57756,35.64708,0,0,55.68326,0,0,1.10692,0,0,6.98518
"102-tP",0.10975,65.83899,0,0,26.23651,0,0,1.31015,0,0,6.50459
"17-rB",0.38422,43.09661,0,0,56.51916,0,0,0,0,0,0
"17-rP",1.47433,65.35079,0,0,33.14951,0,0,0,0,0,0.02537
"17-tB",0.70605,65.09048,0,0,34.06974,0,0,0.13373,0,0,0
"17-tP",1.03227,58.66226,0,0,40.10717,0,0,0.00793,0,0,0.19038
"19-rB",5.81282,47.93477,0,1.44657,43.33892,0,0,0.21827,0.71905,0,0.52959
"19-rP",6.14272,53.95031,0,1.11104,37.27851,0,0,0.16235,1.33314,0,0.02192
"19-tB",5.78862,44.86488,0,0.53646,46.33226,0,0,0.03551,2.11071,0,0.33156
"19-tP",3.23792,53.12865,0,0.83143,39.76689,0,0,0.24618,2.30943,0,0.4795
"21-rB",1.63221,52.42685,0,0,45.90329,0,0,0.03766,0,0,0
"21-rP",1.15688,41.44102,0,0,57.33981,0,0,0.06229,0,0,0
"21-tB",0.65138,57.14879,0,0,42.19545,0,0,0.00439,0,0,0
"21-tP",0.88563,46.25355,0,0,52.83106,0,0,0.02976,0,0,0
"24-rB",1.68777,54.31857,0,3.71724,36.46371,0,0,2.63947,0,1.17324,0
"24-rP",0.27987,44.63642,0,2.38954,51.17941,0,0,1.03797,0,0.47679,0
"24-tB",0.83029,41.84042,0,4.91255,47.97211,0,0,1.2,0,3.24464,0
"24-tP",0.67213,55.70362,0,2.63079,39.28392,0,0,0.85068,0,0.85886,0
"3-rB",8.7448,63.97666,0,0,25.16552,0,0,1.33785,0,0.77516,0
"3-rP",1.91055,82.32858,0,0,13.97636,0,0,1.77045,0,0.01406,0
"3-tB",4.57093,78.06921,0,0,14.74012,0,0,0.74032,0,1.87943,0
"5-rB",26.82485,0.23361,0,0,72.94154,0,0,0,0,0,0
"5-tB",2.60144,41.6666,0,0,54.67665,0,0,1.05532,0,0,0
"5-tP",3.12889,58.21966,0,0,36.85244,0,0,1.79902,0,0,0
"52-rB",6.90015,41.15802,0,0,46.86228,0,0,1.73442,0,0.30482,3.04031
"52-rP",4.97964,33.93879,0,0,59.1913,0,0,0.12554,0,0.05443,1.7103
"52-tB",4.16254,40.02185,0,0,52.9872,0,0,0,0,0.01933,2.80908
"52-tP",9.72013,32.75359,0,0,54.04539,0,0,0.47648,0,0,3.00441
"54-rB",4.21084,29.26213,0,2.04107,62.51041,0,0,1.17897,0,0.79659,0
"54-rP",2.65536,29.80013,0,1.33929,65.09237,0,0,0.27549,0,0.83736,0
"54-tB",1.27589,32.74903,0,0.93825,62.89827,0,0,1.95832,0,0.18024,0
"54-tP",1.91569,27.25224,0,1.32065,68.15092,0,0,0.52147,0,0.83902,0
"55-rB",1.32013,40.41287,0,0.30369,29.17901,0,0.24241,28.5419,0,0,0
"55-rP",1.26452,35.43525,0,0.685,24.30984,0,0.41855,37.88684,0,0,0
"55-tB",1.0685,31.54817,0,0.16989,24.86458,0,0.33033,42.01853,0,0,0
"55-tP",1.36051,25.41339,0,0.43558,29.02518,0,0.6435,43.12184,0,0,0
"57-rB",4.23487,51.7622,0,1.06985,41.76874,0,0,1.16434,0,0,0
"57-rP",3.74858,47.10145,0,6.46496,42.42162,0,0,0.26339,0,0,0
"57-tB",3.55776,52.77796,0,1.11436,41.62243,0,0,0.92749,0,0,0
"57-tP",7.12246,33.17879,0,2.29765,57.14753,0,0,0.25358,0,0,0
"58-rB",1.01577,88.15096,0,0,10.49826,0,0,0.33501,0,0,0
"58-rP",2.38292,75.32656,0,0.13379,19.83577,0,0,2.29905,0,0.02191,0
"58-tB",2.21191,36.13718,0,0,57.27559,0,0,4.37532,0,0,0
"58-tP",3.16634,26.88404,0,0.66883,67.18383,0,0,2.09697,0,0,0
"60-rB",0.15685,76.87991,0,0,15.22203,0,0,2.31195,0,0,5.42926
