"","term","estimate","std.error","statistic","p.value","padj"
"1","PWY.7392..taxadiene.biosynthesis..engineered.",-0.00278710262005897,0.00113549762930282,-2.45452086216174,0.0141072478567726,1
"2","PWY.7282..4.amino.2.methyl.5.diphosphomethylpyrimidine.biosynthesis.II",-0.00100505242963135,0.00045953612237844,-2.18710212470231,0.0287350695762913,1
"3","PWY.6902..chitin.degradation.II..Vibrio.",-0.00102297571774104,0.00051609729297768,-1.98213734437332,0.0474638708878351,1
"4","PWY.2941..L.lysine.biosynthesis.II",-0.00129945044840424,0.000670269956586935,-1.93869714080747,0.0525382270246249,1
"5","PWY.8187..L.arginine.degradation.XIII..reductive.Stickland.reaction.",-0.00134535351903992,0.000713058405791557,-1.88673677795925,0.0591957383475743,1
"6","PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.",-0.00101787271731515,0.000539893695201032,-1.88532062212015,0.0593865635915866,1
"7","PWY.5981..CDP.diacylglycerol.biosynthesis.III",-0.00441146414682076,0.00239409723867282,-1.84264200950596,0.0653812960560607,1
"8","PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic.",-0.000979324811883479,0.000548833744707098,-1.78437426876171,0.0743628693447642,1
"9","PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic.",-0.000979324811883479,0.000548833744707098,-1.78437426876171,0.0743628693447642,1
"10","GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation",-0.00133910017092717,0.00077074558770212,-1.73740880556907,0.0823150380778394,1
"11","PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.",-0.000284672861481711,0.000166587657663567,-1.70884725479857,0.0874792468770797,1
"12","PWY.7323..superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis",-0.00140255248199862,0.000826450403387683,-1.69708003801493,0.0896815296480334,1
"13","PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol.",-0.00114522469880743,0.00068900411146466,-1.66214494188279,0.0964837163305592,1
"14","NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.",-0.000914270371348802,0.000563942289365786,-1.62121264638089,0.104972041494026,1
"15","PWY.8073..lipid.IVA.biosynthesis..P..putida.",-0.000914270371348802,0.000563942289365786,-1.62121264638089,0.104972041494026,1
"16","PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation",-0.00118164592301251,0.000734504716327775,-1.60876560319484,0.107667604773776,1
"17","COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I",-0.000653321457489784,0.000408255484878765,-1.60027600776458,0.109537366894621,1
"18","THISYNARA.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.III..eukaryotes.",-0.000763764300838004,0.000483281126712827,-1.58037270363311,0.114021538893321,1
"19","PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I",-0.00528130737002542,0.003527149103916,-1.49733034085853,0.134307323853782,1
"20","PWY.6168..flavin.biosynthesis.III..fungi.",-0.0012991156949933,0.000875384004589987,-1.48405235665892,0.137795031260923,1
"21","PWY.6630..superpathway.of.L.tyrosine.biosynthesis",-0.00147916155168636,0.00100253402820556,-1.47542278872461,0.140098912359271,1
"22","PWY.6876..isopropanol.biosynthesis..engineered.",-0.0361609273825969,0.0247046352808196,-1.46373046885949,0.14326760701805,1
"23","PWY.2942..L.lysine.biosynthesis.III",-0.000319554735978353,0.000219100023879043,-1.45848791031975,0.144706105092048,1
