Date,Link Clicks,Cost Per result,Total Daily Cost,,Image
6-Oct,47,$                      0.07, $                         3.29,,Berries
7-Oct,92,$                      0.08, $                         7.36,,Berries
8-Oct,86,$                      0.09, $                         7.74,,Berries
9-Oct,71,$                      0.10, $                         7.10,,Berries
10-Oct,67,$                      0.11, $                         7.37,,Berries
11-Oct,73,$                      0.10, $                         7.30,,Berries
12-Oct,61,$                      0.11, $                         6.71,,Berries
13-Oct,58,$                      0.12, $                         6.96,,Berries
14-Oct,53,$                      0.14, $                         7.42,,Berries
15-Oct,47,$                      0.16, $                         7.52,,Berries
16-Oct,33,$                      0.20, $                         6.60,,Berries
17-Oct,57,$                      0.13, $                         7.41,,Berries
18-Oct,47,$                      0.15, $                         7.05,,Berries
19-Oct,46,$                      0.14, $                         6.44,,Berries
20-Oct,19,$                      0.20, $                         3.80,,Berries
6-Oct,31,$                                 0.12, $                      3.72,,People
7-Oct,36,$                                 0.21, $                      7.56,,People
8-Oct,38,$                                 0.19, $                      7.22,,People
9-Oct,28,$                                 0.25, $                      7.00,,People
10-Oct,22,$                                 0.32, $                      7.04,,People
11-Oct,29,$                                 0.26, $                      7.54,,People
12-Oct,16,$                                 0.43, $                      6.88,,People
13-Oct,21,$                                 0.35, $                      7.35,,People
14-Oct,12,$                                 0.60, $                      7.20,,People
15-Oct,24,$                                 0.32, $                      7.68,,People
16-Oct,18,$                                 0.40, $                      7.20,,People
17-Oct,25,$                                 0.29, $                      7.25,,People
18-Oct,23,$                                 0.30, $                      6.90,,People
19-Oct,19,$                                 0.35, $                      6.65,,People
20-Oct,14,$                                 0.23, $                      3.22,,People
