Date,Link Clicks,Cost per result,Total Daily Cost
9-Feb,125,$                 0.12, $              15.00
10-Feb,102,$                 0.15, $              15.30
11-Feb,130,$                 0.12, $              15.60
12-Feb,127,$                 0.12, $              15.24
13-Feb,117,$                 0.13, $              15.21
14-Feb,138,$                 0.11, $              15.18
15-Feb,116,$                 0.13, $              15.08
16-Feb,113,$                 0.13, $              14.69
17-Feb,107,$                 0.14, $              14.98
18-Feb,97,$                 0.15, $              14.55
19-Feb,102,$                 0.14, $              14.28
20-Feb,99,$                 0.15, $              14.85
21-Feb,106,$                 0.14, $              14.84
22-Feb,38,$                 0.16, $                6.08
