Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.3.229.0,,,,,,,,,,,,,,,
Date,12/21/2021,4:50 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX12206703,,,,,,,,,,,,,,,
Batch,Spakowicz_12,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,,,,,,,,,,,,,,,,
ComputerName,DESKTOP-NG1DMGE,,,,,,,,,,,,,,,
Country Code,7F,,,,,,,,,,,,,,,
ProtocolName,Spakowicz_12,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,R&D,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
BatchStartTime,12/21/2021 18:03,,,,,,,,,,,,,,,
BatchStopTime,12/21/2021 19:00,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,R&D plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,12,,,,,,,,,,
ProtocolAnalysis,Type,Quan,Mode,FitOfAllStandards,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 12/21/2021 15:49:12,,,,,,,,,,,,,,,
Last VER Verification,Passed 12/21/2021 15:50:16,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 12/21/2021 15:51:36,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B83445,9/15/2022,12/21/2021 15:49,25.9,25.9,25.9,25.9,270,329,317,317,0.00694,0.0069,0.00391,0.1161,Pass,MAGPX12206703
B83445,9/15/2022,12/21/2021 15:49,25.9,25.9,25.9,25.9,270,329,317,317,0.00694,0.0069,0.00391,0.1161,Pass,MAGPX12206703
B83445,9/15/2022,12/21/2021 15:49,25.9,25.9,25.9,25.9,270,329,317,317,0.00694,0.0069,0.00391,0.1161,Pass,MAGPX12206703
B83445,9/15/2022,12/21/2021 15:49,25.9,25.9,25.9,25.9,270,329,317,317,0.00694,0.0069,0.00391,0.1161,Pass,MAGPX12206703
B83445,9/15/2022,12/21/2021 15:49,25.9,25.9,25.9,25.9,270,329,317,317,0.00694,0.0069,0.00391,0.1161,Pass,MAGPX12206703
B83445,9/15/2022,12/21/2021 15:49,25.9,25.9,25.9,25.9,270,329,317,317,0.00694,0.0069,0.00391,0.1161,Pass,MAGPX12206703
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AssayLotInfo:,,,,,,,,,,,,,,,,
KitName,LotNumber,ExpirationDate,Manufacturer,,,,,,,,,,,,,
LXSAHM-12,L143109,12/1/2022,R&D,,,,,,,,,,,,,
Reagent,LotName,LotNumber,ExpirationDate,Manufacturer,,,,,,,,,,,,
Standard1,LXSAHM-12,L143109,12/1/2022,R&D,,,,,,,,,,,,
Standard2,LXSAHM-12,L143109,12/1/2022,R&D,,,,,,,,,,,,
Standard3,LXSAHM-12,L143109,12/1/2022,R&D,,,,,,,,,,,,
Standard4,LXSAHM-12,L143109,12/1/2022,R&D,,,,,,,,,,,,
Standard5,LXSAHM-12,L143109,12/1/2022,R&D,,,,,,,,,,,,
Standard6,LXSAHM-12,L143109,12/1/2022,R&D,,,,,,,,,,,,
Standard7,LXSAHM-12,L143109,12/1/2022,R&D,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,48,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,TNF-alpha,IL-6,vWF-A2,MMP-2,IL-10,CCL2/JE/MCP-1,IL-1 beta/IL-1F2,S100A9,Comlement Component C9,ALCAM/CD166,IL-12/IL-23 p40,Cystatin C,Total Events,,
"1(1,A1)",Standard1,5149,3638.5,7851.5,12469,7473,13367,4374,2884,3318.5,7963,5954,14854,3428,,
"2(1,B1)",Standard1,5160.5,3643,7721,12517,7454,13215,4417.5,3175,3213,8027,6077,14887,3524,,
"3(1,C1)",Standard2,1919,1106.5,2313,7251,2519,8164,1865,1122,1231,4112,2227,8490.5,3440,,
"4(1,D1)",Standard2,1418,730.5,1961,5133.5,1585.5,4706.5,1166,755,861,2627,1425,6504,5414,,
"5(1,E1)",Standard3,671,346,677.5,1784.5,828.5,2505,595.5,329,404,1175,654.5,2129,3626,,
"6(1,F1)",Standard3,680.5,361,688,1793,861,2588,618,343,426,1231,670,2222,3722,,
"7(1,G1)",Standard4,20,282,1160.5,1570,737,2697,253,373,NaN,2017,NaN,3841.5,18,,
"8(1,H1)",Standard4,293.5,152,291.5,345,322,1060,270,142,181,512,248.5,412,2344,,
"9(1,A2)",Standard5,86,52,93,87,76,98,62,50,59,113,67,57,3711,,
"10(1,B2)",Standard5,89,50,107,85,95,96,60,51,61,109,66.5,57,3288,,
"11(1,C2)",Standard6,36,28,45,46,33.5,19,24,34,29,41,35,23,2848,,
"12(1,D2)",Standard6,28,23,43,44,29,11,18,32,24,29,29,23,7408,,
"13(1,E2)",Standard7,21,20,30,36.5,23,9,15,30,20,21,25,19,2861,,
"14(1,F2)",Standard7,20,19,30,37,22,9,15,31,20,20,25,19,3627,,
"15(1,G2)",Background0,12,16,23,32,15,9,9,29,14,12,21,20,3437,,
"16(1,H2)",Background0,11,16,23,31,15,8,9,29,15,12,21,19,4203,,
"17(1,A3)",76-1,32,22,665,11387,20,412,13,236,4563,460,24,22849,2797,,
"18(1,B3)",76-1,33,22,583,11229,19,329,14,207,5226,456,25,22747.5,3066,,
"19(1,C3)",76-2,28,22,225,9150.5,22,124,16,102,4944,344,26,21126,3212,,
"20(1,D3)",76-2,28,23,201,9022,24,45,16,58,4302,197,29,22231,5653,,
