rand_tx,rand_smoke_status,gender_rx
6,1,1
0,1,1
6,1,1
6,1,1
6,1,1
6,1,1
0,1,1
6,1,1
6,1,1
6,1,1
0,1,1
0,1,1
0,1,1
6,1,1
0,1,1
0,1,1
0,1,1
6,1,1
6,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
6,1,1
6,1,1
0,1,1
6,1,1
0,1,1
6,1,1
6,1,1
0,1,1
6,1,1
0,1,1
0,1,1
0,1,1
0,1,1
6,1,1
6,1,1
6,1,1
6,1,1
0,1,1
6,1,1
6,1,1
0,1,1
0,1,1
0,1,1
6,1,1
0,1,1
6,1,1
6,1,2
6,1,2
6,1,2
0,1,2
0,1,2
6,1,2
6,1,2
6,1,2
6,1,2
0,1,2
6,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
6,1,2
6,1,2
6,1,2
6,1,2
0,1,2
6,1,2
0,1,2
6,1,2
0,1,2
6,1,2
0,1,2
0,1,2
0,1,2
6,1,2
6,1,2
6,1,2
0,1,2
6,1,2
0,1,2
0,1,2
6,1,2
6,1,2
6,1,2
0,1,2
0,1,2
0,1,2
0,1,2
6,1,2
0,1,2
6,1,2
0,1,2
0,1,2
0,1,2
6,1,2
6,0,1
0,0,1
0,0,1
6,0,1
6,0,1
6,0,1
6,0,1
0,0,1
6,0,1
0,0,1
0,0,1
6,0,1
6,0,1
0,0,1
0,0,1
0,0,1
6,0,1
6,0,1
6,0,1
0,0,1
6,0,1
0,0,1
6,0,1
6,0,1
6,0,1
0,0,1
6,0,1
6,0,1
6,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
6,0,1
6,0,1
0,0,1
0,0,1
6,0,1
6,0,1
0,0,1
0,0,1
0,0,1
6,0,1
0,0,1
0,0,1
6,0,1
6,0,1
0,0,1
0,0,1
0,0,2
6,0,2
6,0,2
6,0,2
6,0,2
0,0,2
6,0,2
6,0,2
6,0,2
0,0,2
6,0,2
6,0,2
0,0,2
6,0,2
6,0,2
0,0,2
0,0,2
6,0,2
6,0,2
0,0,2
6,0,2
0,0,2
0,0,2
0,0,2
6,0,2
0,0,2
6,0,2
6,0,2
0,0,2
0,0,2
6,0,2
0,0,2
0,0,2
6,0,2
0,0,2
6,0,2
6,0,2
0,0,2
0,0,2
0,0,2
0,0,2
6,0,2
6,0,2
0,0,2
0,0,2
0,0,2
0,0,2
6,0,2
0,0,2
6,0,2
