"cytokine","estimate","std.error","statistic","p.value"
"S100A9",-0.00634025691575251,0.00414877884153073,-1.52822243795796,0.126457319628897
"C.Reactive.Protein.CRP",1.43866458935319e-05,1.32415131328996e-05,1.08648050635445,0.277266460757005
"vWF.A2",-0.00196583170015377,0.00200782029723918,-0.979087472547648,0.327536760933601
"IL.1.beta.IL.1F2",0.0556296631346622,0.0875366180385716,0.635501626418214,0.525101306308825
"ALCAM.CD166",-5.14495013554783e-05,8.64215059637754e-05,-0.59533215467275,0.551621466394767
"IL.12.IL.23.p40",0.0010902160327009,0.00200533565806985,0.543657630738107,0.586677093621407
"MMP.2",-7.59231444053438e-06,1.43674789710178e-05,-0.528437484116014,0.597195726692806
"IL.6",0.00529647914804989,0.0104556900408612,0.506564284839265,0.612460573317408
"IL.17F",0.0565237669470655,0.281170274503925,0.201030379355683,0.840674819653102
"IL.10",0.0761550368017473,0.57366597710465,0.132751531101965,0.894389887555878
"CCL2.JE.MCP.1",-1.18194710253233e-05,0.00022883782315703,-0.0516499888972145,0.958807587086944
"Cystatin.C",-1.07418555119723e-07,2.92935057346264e-06,-0.036669750658334,0.970748327892072
"TNF.alpha",-0.00362936274067965,0.128030151081728,-0.02834771895538,0.977384821652558
"Complement.Component.C9",-3.01654099304661e-08,2.21145935518019e-06,-0.0136404993651842,0.98911679365
