"Variable","Level","Completed all visits (N=33)","All consented (N=96)"
"n","","33","96"
"Gender (%)","Female","16 (48.5)","33 (60.0)"
"","Male","17 (51.5)","22 (40.0)"
"Race (%)","White","12 (85.7)","13 (68.4)"
"","African American","1 (7.1)","1 (5.3)"
"","Other/Unk","1 (7.1)","5 (26.3)"
"Age group (%)","55-66 years","17 (51.5)","34 (64.2)"
"","67-79 years","16 (48.5)","19 (35.8)"
"Age (mean (SD))","","65.15 (5.64)","63.82 (6.46)"
"Smoking status (%)","Former","23 (69.7)","35 (64.8)"
"","Current","10 (30.3)","19 (35.2)"
"HEI-2015 (%)","Good (>80)","1 (4.3)","1 (3.7)"
"","Fair (51-79)","21 (91.3)","25 (92.6)"
"","Poor (<50)","1 (4.3)","1 (3.7)"
"IPAQ (%)","Active","7 (22.6)","8 (19.5)"
"","Minimally active","17 (54.8)","20 (48.8)"
"","Inactive","7 (22.6)","13 (31.7)"
"resedip (mean (SD))","","-0.21 (0.82)","-0.21 (0.81)"
"resedih (mean (SD))","","-0.07 (1.08)","-0.08 (1.05)"
